index,datetime,predict2,CashType
184079,2018-04-01 21:30:00,-1.0,info
184080,2018-04-01 22:00:00,-1.0,info
184081,2018-04-01 22:30:00,-1.0,info
184082,2018-04-01 23:00:00,-1.0,info
184083,2018-04-01 23:30:00,-1.0,info
184084,2018-04-01 07:00:00,-1.0,extra
184085,2018-04-01 07:30:00,-1.0,extra
184086,2018-04-01 08:00:00,-1.0,extra
184087,2018-04-01 08:30:00,-1.0,extra
184088,2018-04-01 09:00:00,-1.0,extra
184089,2018-04-01 09:30:00,-1.0,extra
184090,2018-04-01 10:00:00,-1.0,extra
184091,2018-04-01 10:30:00,-1.0,extra
184092,2018-04-01 11:00:00,-1.0,extra
184093,2018-04-01 11:30:00,-1.0,extra
184094,2018-04-01 12:00:00,-1.0,extra
184095,2018-04-01 12:30:00,-1.0,extra
184096,2018-04-01 13:00:00,-1.0,extra
184097,2018-04-01 13:30:00,-1.0,extra
184098,2018-04-01 14:00:00,-1.0,extra
184099,2018-04-01 14:30:00,-1.0,extra
184100,2018-04-01 15:00:00,-1.0,extra
184101,2018-04-01 15:30:00,-1.0,extra
184102,2018-04-01 16:00:00,-1.0,extra
184103,2018-04-01 16:30:00,-1.0,extra
184104,2018-04-01 17:00:00,-1.0,extra
184105,2018-04-01 17:30:00,-1.0,extra
184106,2018-04-01 18:00:00,-1.0,extra
184107,2018-04-01 18:30:00,-1.0,extra
184108,2018-04-01 19:00:00,-1.0,extra
184109,2018-04-01 19:30:00,-1.0,extra
184110,2018-04-01 20:00:00,-1.0,extra
184111,2018-04-01 20:30:00,-1.0,extra
184112,2018-04-01 21:00:00,-1.0,extra
184113,2018-04-01 21:30:00,-1.0,extra
184114,2018-04-01 22:00:00,-1.0,extra
184115,2018-04-01 22:30:00,-1.0,extra
184116,2018-04-01 23:00:00,-1.0,extra
184117,2018-04-01 23:30:00,-1.0,extra
184118,2018-04-02 00:00:00,-1.0,deli
184119,2018-04-02 07:00:00,-1.0,deli
184120,2018-04-02 07:30:00,-1.0,deli
184121,2018-04-02 08:00:00,-1.0,deli
184122,2018-04-02 08:30:00,-1.0,deli
184123,2018-04-02 09:00:00,-1.0,deli
184124,2018-04-02 09:30:00,-1.0,deli
184125,2018-04-02 10:00:00,-1.0,deli
184126,2018-04-02 10:30:00,-1.0,deli
184127,2018-04-02 11:00:00,-1.0,deli
184128,2018-04-02 11:30:00,-1.0,deli
184129,2018-04-02 12:00:00,-1.0,deli
184130,2018-04-02 12:30:00,-1.0,deli
184131,2018-04-02 13:00:00,-1.0,deli
184132,2018-04-02 13:30:00,-1.0,deli
184133,2018-04-02 14:00:00,-1.0,deli
184134,2018-04-02 14:30:00,-1.0,deli
184135,2018-04-02 15:00:00,-1.0,deli
184136,2018-04-02 15:30:00,-1.0,deli
184137,2018-04-02 16:00:00,-1.0,deli
184138,2018-04-02 16:30:00,-1.0,deli
184139,2018-04-02 17:00:00,-1.0,deli
184140,2018-04-02 17:30:00,-1.0,deli
184141,2018-04-02 18:00:00,-1.0,deli
184142,2018-04-02 18:30:00,-1.0,deli
184143,2018-04-02 19:00:00,-1.0,deli
184144,2018-04-02 19:30:00,-1.0,deli
184145,2018-04-02 20:00:00,-1.0,deli
184146,2018-04-02 20:30:00,-1.0,deli
184147,2018-04-02 21:00:00,-1.0,deli
184148,2018-04-02 21:30:00,-1.0,deli
184149,2018-04-02 22:00:00,-1.0,deli
184150,2018-04-02 22:30:00,-1.0,deli
184151,2018-04-02 23:00:00,-1.0,deli
184152,2018-04-02 23:30:00,-1.0,deli
184153,2018-04-02 00:00:00,-1.0,return
184154,2018-04-02 07:00:00,-1.0,return
184155,2018-04-02 07:30:00,-1.0,return
184156,2018-04-02 08:00:00,-1.0,return
184157,2018-04-02 08:30:00,-1.0,return
184158,2018-04-02 09:00:00,-1.0,return
184159,2018-04-02 09:30:00,-1.0,return
184160,2018-04-02 10:00:00,-1.0,return
184161,2018-04-02 10:30:00,-1.0,return
184162,2018-04-02 11:00:00,-1.0,return
184163,2018-04-02 11:30:00,-1.0,return
184164,2018-04-02 12:00:00,-1.0,return
184165,2018-04-02 12:30:00,-1.0,return
184166,2018-04-02 13:00:00,-1.0,return
