Дата,length,w_time
2018-05-05 21:30:00,1.3040571646818304,2.036088224477368
2018-05-05 22:00:00,1.236136637536719,1.893517792264246
2018-05-05 22:30:00,1.2628882793424157,2.242021987423371
2018-05-05 23:00:00,1.0934047642259987,1.8742243880717322
2018-05-05 23:30:00,1.0318095908197829,1.7605255968264215
2018-05-06 00:00:00,0.7168030867868048,1.0930869557319807
2018-05-06 07:00:00,0.7763917938077128,1.2718732390163894
2018-05-06 07:30:00,1.0855427750115136,1.939700595299873
2018-05-06 08:00:00,1.413662577979926,2.462190188150756
2018-05-06 08:30:00,2.0259648413280464,3.032121305696977
2018-05-06 09:00:00,1.9843498155140271,3.336679515779009
2018-05-06 09:30:00,2.1618075319354015,3.8779469484178115
2018-05-06 10:00:00,2.0866531062741345,3.655083352797045
2018-05-06 10:30:00,2.3697527106323264,4.203996066291678
2018-05-06 11:00:00,1.8721537885721933,3.1100689305903364
2018-05-06 11:30:00,1.9153852063502381,3.3764273361967314
2018-05-06 12:00:00,2.050131138934042,3.2531625071634687
2018-05-06 12:30:00,1.8588133831913567,2.847437200974912
2018-05-06 13:00:00,1.5778476984327396,2.5682543735965644
2018-05-06 13:30:00,1.7053402980544614,2.596854976479361
2018-05-06 14:00:00,1.6764666031298447,2.749772835702727
2018-05-06 14:30:00,1.7053402980544614,2.705841261253273
2018-05-06 15:00:00,1.5612985719031771,2.8030649800906726
2018-05-06 15:30:00,1.5612985719031771,2.745922354549489
2018-05-06 16:00:00,1.7053402980544614,2.524898796311983
2018-05-06 16:30:00,1.6764666031298447,2.9551239623297505
2018-05-06 17:00:00,1.4572381121802904,2.2748660696170333
2018-05-06 17:30:00,1.5316256690921097,2.3997206724929177
2018-05-06 18:00:00,1.299466883624935,2.253643359639529
2018-05-06 18:30:00,1.3474945325997505,2.3145283348001757
2018-05-06 19:00:00,1.3135619413108193,2.034683613356391
2018-05-06 19:30:00,1.305939063848754,1.977585697199305
2018-05-06 20:00:00,1.346323322481249,2.136864538374035
2018-05-06 20:30:00,1.3345805211517856,2.038097050809707
2018-05-06 21:00:00,1.3000355568848712,2.137156599265614
2018-05-06 21:30:00,1.4087136550142663,2.13691559684646
2018-05-06 22:00:00,1.2237053238135807,2.1349357575722006
2018-05-06 22:30:00,1.0934047642259987,1.8903740377979505
2018-05-06 23:00:00,0.8046882510581757,1.238869611802297
2018-05-06 23:30:00,1.0189731667620476,1.8285523477377066
2018-05-07 00:00:00,0.5147499611789665,0.9264144650603848
2018-05-07 07:00:00,0.8967859511842551,1.3337154331822683
2018-05-07 07:30:00,1.1152020568465426,1.8696715389994827
2018-05-07 08:00:00,1.4580203387609447,2.2756788220100628
2018-05-07 08:30:00,2.1122444367465065,3.318093841944216
2018-05-07 09:00:00,2.0259648413280464,3.488424252891347
2018-05-07 09:30:00,2.133352991220198,3.282732625202425
2018-05-07 10:00:00,2.2745914794846644,3.406505478619425
2018-05-07 10:30:00,2.3139678328642552,3.5728935120329615
2018-05-07 11:00:00,2.3263034678871928,3.6956160633256174
2018-05-07 11:30:00,1.8096516487554961,2.958593470671235
2018-05-07 12:00:00,1.860462387216978,3.3218431995217133
2018-05-07 12:30:00,1.8853330556427637,3.2948159990575974
2018-05-07 13:00:00,1.5285339523318424,2.6281861779044537
2018-05-07 13:30:00,1.4285568423197745,2.44594266267646
2018-05-07 14:00:00,1.3492441851808175,2.3202665060731187
2018-05-07 14:30:00,1.3060358607572375,1.9830903318135407
2018-05-07 15:00:00,1.3060358607572375,2.274974767549524
2018-05-07 15:30:00,1.299466883624935,2.1108959443692115
2018-05-07 16:00:00,1.340925555467448,1.9810305091432314
